
(base) C:\Users\user>conda activate gpu_env

(gpu_env) C:\Users\user>d:

(gpu_env) D:\>cd D:\Mitosis WSI CCMCT

(gpu_env) D:\Mitosis WSI CCMCT>python data_segregation_status.py
D:\Mitosis WSI CCMCT\data_segregation_status.py:7: SyntaxWarning: invalid escape sequence '\M'
  base_dir = Path("D:\Mitosis WSI CCMCT")
[05-02-2026 20:13:27] Non: 12720, Mit: 2007 | Total: 14727 | Speed: 14727/min | Average: 14727/min
[05-02-2026 20:58:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 320/min
[05-02-2026 20:59:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 313/min
[05-02-2026 21:00:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 307/min
[05-02-2026 21:01:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 300/min
[05-02-2026 21:02:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 294/min
[05-02-2026 21:03:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 289/min
[05-02-2026 21:04:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 283/min
[05-02-2026 21:05:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 278/min
[05-02-2026 21:06:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 273/min
[05-02-2026 21:07:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 268/min
[05-02-2026 21:08:31] Non: 12742, Mit: 2007 | Total: 14749 | Speed: 1/min | Average: 263/min
[05-02-2026 21:09:31] Non: 12742, Mit: 2007 | Total: 14749 | Speed: 0/min | Average: 258/min
[05-02-2026 21:10:31] Non: 12743, Mit: 2007 | Total: 14750 | Speed: 1/min | Average: 254/min
[05-02-2026 21:11:31] Non: 12743, Mit: 2007 | Total: 14750 | Speed: 0/min | Average: 250/min
[05-02-2026 21:12:31] Non: 12744, Mit: 2007 | Total: 14751 | Speed: 1/min | Average: 245/min
[05-02-2026 21:13:31] Non: 12744, Mit: 2007 | Total: 14751 | Speed: 0/min | Average: 241/min
[05-02-2026 21:14:31] Non: 12744, Mit: 2007 | Total: 14751 | Speed: 0/min | Average: 237/min
[05-02-2026 21:15:31] Non: 12745, Mit: 2007 | Total: 14752 | Speed: 1/min | Average: 234/min
[05-02-2026 21:16:31] Non: 12751, Mit: 2007 | Total: 14758 | Speed: 6/min | Average: 230/min
[05-02-2026 21:17:31] Non: 12759, Mit: 2007 | Total: 14766 | Speed: 8/min | Average: 227/min
[05-02-2026 21:18:31] Non: 12765, Mit: 2007 | Total: 14772 | Speed: 6/min | Average: 223/min
[05-02-2026 21:19:31] Non: 12767, Mit: 2007 | Total: 14774 | Speed: 2/min | Average: 220/min
[05-02-2026 21:20:31] Non: 12767, Mit: 2007 | Total: 14774 | Speed: 0/min | Average: 217/min
[05-02-2026 21:21:32] Non: 12767, Mit: 2007 | Total: 14774 | Speed: 0/min | Average: 214/min
[05-02-2026 21:22:32] Non: 12767, Mit: 2007 | Total: 14774 | Speed: 0/min | Average: 211/min
[05-02-2026 21:23:32] Non: 12769, Mit: 2007 | Total: 14776 | Speed: 2/min | Average: 208/min
[05-02-2026 21:24:32] Non: 12769, Mit: 2007 | Total: 14776 | Speed: 0/min | Average: 205/min
[05-02-2026 21:25:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 1/min | Average: 202/min
[05-02-2026 21:26:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 0/min | Average: 199/min
[05-02-2026 21:27:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 0/min | Average: 197/min
[05-02-2026 21:28:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 0/min | Average: 194/min
[05-02-2026 21:29:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 0/min | Average: 191/min
[05-02-2026 21:30:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 0/min | Average: 189/min
[05-02-2026 21:31:32] Non: 12770, Mit: 2007 | Total: 14777 | Speed: 0/min | Average: 187/min
[05-02-2026 21:32:32] Non: 12772, Mit: 2007 | Total: 14779 | Speed: 2/min | Average: 184/min
[05-02-2026 21:33:32] Non: 12772, Mit: 2007 | Total: 14779 | Speed: 0/min | Average: 182/min
[05-02-2026 21:34:32] Non: 12773, Mit: 2007 | Total: 14780 | Speed: 1/min | Average: 180/min
[05-02-2026 21:35:32] Non: 12773, Mit: 2007 | Total: 14780 | Speed: 0/min | Average: 178/min
[05-02-2026 21:36:32] Non: 12774, Mit: 2007 | Total: 14781 | Speed: 1/min | Average: 175/min
[05-02-2026 21:37:32] Non: 12775, Mit: 2007 | Total: 14782 | Speed: 1/min | Average: 173/min
[05-02-2026 21:38:32] Non: 12775, Mit: 2007 | Total: 14782 | Speed: 0/min | Average: 171/min
[05-02-2026 21:39:32] Non: 12775, Mit: 2007 | Total: 14782 | Speed: 0/min | Average: 169/min
[05-02-2026 21:40:32] Non: 12775, Mit: 2007 | Total: 14782 | Speed: 0/min | Average: 167/min
[05-02-2026 21:41:32] Non: 12775, Mit: 2007 | Total: 14782 | Speed: 0/min | Average: 166/min
[05-02-2026 21:42:32] Non: 12775, Mit: 2007 | Total: 14782 | Speed: 0/min | Average: 164/min
[05-02-2026 21:43:32] Non: 12776, Mit: 2007 | Total: 14783 | Speed: 1/min | Average: 162/min
[05-02-2026 21:44:32] Non: 12782, Mit: 2007 | Total: 14789 | Speed: 6/min | Average: 160/min
[05-02-2026 21:45:32] Non: 12787, Mit: 2007 | Total: 14794 | Speed: 5/min | Average: 159/min
[05-02-2026 21:46:32] Non: 12789, Mit: 2007 | Total: 14796 | Speed: 2/min | Average: 157/min
[05-02-2026 21:47:32] Non: 12790, Mit: 2007 | Total: 14797 | Speed: 1/min | Average: 155/min
[05-02-2026 21:48:32] Non: 12791, Mit: 2007 | Total: 14798 | Speed: 1/min | Average: 154/min
[05-02-2026 21:49:32] Non: 12791, Mit: 2007 | Total: 14798 | Speed: 0/min | Average: 152/min
[05-02-2026 21:50:32] Non: 12791, Mit: 2007 | Total: 14798 | Speed: 0/min | Average: 151/min
[05-02-2026 21:51:32] Non: 12791, Mit: 2007 | Total: 14798 | Speed: 0/min | Average: 149/min
[05-02-2026 21:52:32] Non: 12791, Mit: 2007 | Total: 14798 | Speed: 0/min | Average: 147/min
[05-02-2026 21:53:32] Non: 12791, Mit: 2007 | Total: 14798 | Speed: 0/min | Average: 146/min
[05-02-2026 21:54:32] Non: 12792, Mit: 2007 | Total: 14799 | Speed: 1/min | Average: 145/min
[05-02-2026 21:55:32] Non: 12792, Mit: 2007 | Total: 14799 | Speed: 0/min | Average: 143/min
[05-02-2026 21:56:32] Non: 12792, Mit: 2007 | Total: 14799 | Speed: 0/min | Average: 142/min
[05-02-2026 21:57:32] Non: 12792, Mit: 2007 | Total: 14799 | Speed: 0/min | Average: 140/min
[05-02-2026 21:58:32] Non: 12792, Mit: 2007 | Total: 14799 | Speed: 0/min | Average: 139/min
[05-02-2026 21:59:32] Non: 12792, Mit: 2007 | Total: 14799 | Speed: 0/min | Average: 138/min
[05-02-2026 22:00:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 2/min | Average: 137/min
[05-02-2026 22:01:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 135/min
[05-02-2026 22:02:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 134/min
[05-02-2026 22:03:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 133/min
[05-02-2026 22:04:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 132/min
[05-02-2026 22:05:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 130/min
[05-02-2026 22:06:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 129/min
[05-02-2026 22:07:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 128/min
[05-02-2026 22:08:32] Non: 12794, Mit: 2007 | Total: 14801 | Speed: 0/min | Average: 127/min
[05-02-2026 22:09:32] Non: 12795, Mit: 2007 | Total: 14802 | Speed: 1/min | Average: 126/min
[05-02-2026 22:10:32] Non: 12796, Mit: 2007 | Total: 14803 | Speed: 1/min | Average: 125/min
[05-02-2026 22:11:32] Non: 12796, Mit: 2007 | Total: 14803 | Speed: 0/min | Average: 124/min
[05-02-2026 22:12:32] Non: 12798, Mit: 2007 | Total: 14805 | Speed: 2/min | Average: 123/min
[05-02-2026 22:13:32] Non: 12800, Mit: 2007 | Total: 14807 | Speed: 2/min | Average: 122/min
[05-02-2026 22:14:32] Non: 12800, Mit: 2007 | Total: 14807 | Speed: 0/min | Average: 121/min
[05-02-2026 22:15:32] Non: 12806, Mit: 2007 | Total: 14813 | Speed: 6/min | Average: 120/min
[05-02-2026 22:16:32] Non: 14361, Mit: 3173 | Total: 17534 | Speed: 2721/min | Average: 141/min
[05-02-2026 22:17:32] Non: 17558, Mit: 4360 | Total: 21918 | Speed: 4384/min | Average: 175/min
[05-02-2026 22:18:32] Non: 21981, Mit: 5729 | Total: 27710 | Speed: 5792/min | Average: 219/min
[05-02-2026 22:19:32] Non: 26820, Mit: 7168 | Total: 33988 | Speed: 6278/min | Average: 267/min
[05-02-2026 22:20:32] Non: 32672, Mit: 8357 | Total: 41029 | Speed: 7041/min | Average: 320/min
[05-02-2026 22:21:32] Non: 39250, Mit: 9167 | Total: 48417 | Speed: 7388/min | Average: 375/min
[05-02-2026 22:22:32] Non: 43939, Mit: 9718 | Total: 53657 | Speed: 5240/min | Average: 412/min
[05-02-2026 22:23:32] Non: 49743, Mit: 10221 | Total: 59964 | Speed: 6307/min | Average: 457/min
[05-02-2026 22:24:33] Non: 52078, Mit: 10606 | Total: 62684 | Speed: 2720/min | Average: 474/min
[05-02-2026 22:25:33] Non: 53473, Mit: 10974 | Total: 64447 | Speed: 1763/min | Average: 484/min
[05-02-2026 22:26:33] Non: 55075, Mit: 11254 | Total: 66329 | Speed: 1882/min | Average: 494/min
[05-02-2026 22:27:33] Non: 56387, Mit: 11491 | Total: 67878 | Speed: 1549/min | Average: 502/min
[05-02-2026 22:28:33] Non: 59038, Mit: 11753 | Total: 70791 | Speed: 2913/min | Average: 520/min
[05-02-2026 22:29:33] Non: 60989, Mit: 11982 | Total: 72971 | Speed: 2180/min | Average: 532/min
[05-02-2026 22:30:33] Non: 62641, Mit: 12248 | Total: 74889 | Speed: 1918/min | Average: 542/min
[05-02-2026 22:31:33] Non: 63742, Mit: 12611 | Total: 76353 | Speed: 1464/min | Average: 549/min
[05-02-2026 22:32:33] Non: 65589, Mit: 13009 | Total: 78598 | Speed: 2245/min | Average: 561/min
[05-02-2026 22:33:33] Non: 67417, Mit: 13470 | Total: 80887 | Speed: 2289/min | Average: 573/min
[05-02-2026 22:34:33] Non: 69299, Mit: 13979 | Total: 83278 | Speed: 2391/min | Average: 586/min
[05-02-2026 22:35:33] Non: 71192, Mit: 14448 | Total: 85640 | Speed: 2362/min | Average: 598/min
[05-02-2026 22:36:33] Non: 74278, Mit: 14966 | Total: 89244 | Speed: 3604/min | Average: 619/min
[05-02-2026 22:37:33] Non: 76490, Mit: 15580 | Total: 92070 | Speed: 2826/min | Average: 634/min
[05-02-2026 22:38:33] Non: 79700, Mit: 16249 | Total: 95949 | Speed: 3879/min | Average: 657/min
[05-02-2026 22:39:33] Non: 81352, Mit: 16809 | Total: 98161 | Speed: 2212/min | Average: 667/min
[05-02-2026 22:40:33] Non: 83127, Mit: 17349 | Total: 100476 | Speed: 2315/min | Average: 678/min
[05-02-2026 22:41:33] Non: 85488, Mit: 17922 | Total: 103410 | Speed: 2934/min | Average: 694/min
[05-02-2026 22:42:33] Non: 89572, Mit: 18528 | Total: 108100 | Speed: 4690/min | Average: 720/min
[05-02-2026 22:43:33] Non: 94243, Mit: 19170 | Total: 113413 | Speed: 5313/min | Average: 751/min
[05-02-2026 22:44:34] Non: 98245, Mit: 19833 | Total: 118078 | Speed: 4665/min | Average: 776/min
[05-02-2026 22:45:34] Non: 102509, Mit: 20346 | Total: 122855 | Speed: 4777/min | Average: 802/min
[05-02-2026 22:46:34] Non: 103778, Mit: 20693 | Total: 124471 | Speed: 1616/min | Average: 808/min
[05-02-2026 22:47:34] Non: 104666, Mit: 20946 | Total: 125612 | Speed: 1141/min | Average: 810/min
[05-02-2026 22:48:34] Non: 105449, Mit: 20974 | Total: 126423 | Speed: 811/min | Average: 810/min
[05-02-2026 22:49:34] Non: 107573, Mit: 20976 | Total: 128549 | Speed: 2126/min | Average: 818/min
[05-02-2026 22:50:34] Non: 111800, Mit: 20982 | Total: 132782 | Speed: 4233/min | Average: 840/min
[05-02-2026 22:51:34] Non: 114792, Mit: 21002 | Total: 135794 | Speed: 3012/min | Average: 854/min
[05-02-2026 22:52:34] Non: 119493, Mit: 21015 | Total: 140508 | Speed: 4714/min | Average: 878/min
[05-02-2026 22:53:34] Non: 122953, Mit: 21027 | Total: 143980 | Speed: 3472/min | Average: 894/min
[05-02-2026 22:54:34] Non: 124672, Mit: 21036 | Total: 145708 | Speed: 1728/min | Average: 899/min
[05-02-2026 22:55:34] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 522/min | Average: 897/min
[05-02-2026 22:56:34] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 891/min
[05-02-2026 22:57:35] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 886/min
[05-02-2026 22:58:35] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 880/min
[05-02-2026 22:59:35] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 875/min
[05-02-2026 23:00:35] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 870/min
[05-02-2026 23:01:35] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 865/min
[05-02-2026 23:02:35] Non: 125194, Mit: 21036 | Total: 146230 | Speed: 0/min | Average: 860/min
Traceback (most recent call last):
  File "D:\Mitosis WSI CCMCT\data_segregation_status.py", line 36, in <module>
    time.sleep(60)  # Check every minute
    ^^^^^^^^^^^^^^
KeyboardInterrupt
^C
(gpu_env) D:\Mitosis WSI CCMCT>
