uid,person,class,annoId
270657,1,1,41493
270658,2,1,41493
270659,1,1,41494
270660,2,4,41494
270661,1,1,41495
270662,2,4,41495
270663,1,1,41496
270664,2,4,41496
270665,1,1,41498
270666,2,4,41498
270667,1,1,41499
270668,2,4,41499
270669,1,1,41500
270670,2,4,41500
270671,1,1,41502
270672,2,4,41502
270673,1,1,41503
270674,2,4,41503
270675,1,1,41504
270676,2,4,41504
270677,1,1,41505
270678,2,4,41505
270679,1,1,41506
270680,2,4,41506
270681,1,1,41507
270682,2,4,41507
270683,1,1,41508
270684,2,4,41508
270685,1,1,41509
270686,2,4,41509
270687,1,1,41510
270688,2,4,41510
270689,1,1,41511
270690,2,4,41511
270691,1,1,41512
270692,2,4,41512
270693,1,1,41513
270694,2,4,41513
270695,1,1,41514
270696,2,4,41514
270697,1,1,41515
270698,2,4,41515
270699,1,1,41516
270700,2,1,41516
270701,1,1,41517
270702,2,4,41517
270703,1,1,41518
270704,2,4,41518
270705,1,1,41519
270706,2,4,41519
270707,1,1,41520
270708,2,4,41520
270709,1,1,41521
270710,2,4,41521
270711,1,1,41522
270712,2,4,41522
270713,1,1,41523
270714,2,4,41523
270715,1,1,41524
270716,2,4,41524
270717,1,1,41525
270718,2,4,41525
270719,1,1,41526
270720,2,4,41526
270721,1,1,41527
270722,2,4,41527
270723,1,1,41528
270724,2,4,41528
270725,2,1,41529
270726,1,1,41529
270727,1,1,41530
270728,2,4,41530
270729,1,1,41531
270730,2,4,41531
270731,1,1,41532
270732,2,4,41532
270733,1,1,41533
270734,2,4,41533
270735,1,1,41534
270736,2,1,41534
270737,1,1,41535
270738,2,1,41535
270739,1,1,41536
270740,2,4,41536
270741,1,1,41537
270742,2,4,41537
270743,1,1,41538
270744,2,1,41538
270745,1,1,41539
270746,2,4,41539
270747,1,1,41540
270748,2,4,41540
270749,1,1,41541
270750,2,2,41541
270751,1,1,41542
270752,2,3,41542
270753,2,1,41543
270754,1,1,41543
270755,1,1,41544
270756,2,4,41544
270757,1,1,41545
270758,2,1,41545
270759,1,1,41546
270760,2,3,41546
270761,1,1,41547
270762,2,4,41547
270763,1,1,41549
270764,2,3,41549
270767,1,1,41551
270768,2,1,41551
270769,1,1,41552
270770,2,1,41552
270771,1,1,41553
270772,2,4,41553
270773,1,1,41554
270774,2,4,41554
270775,1,1,41555
270776,2,3,41555
270777,1,1,41556
270778,2,1,41556
270781,1,1,41558
270782,2,4,41558
270783,1,1,41559
270784,2,3,41559
270785,1,1,41560
270786,2,1,41560
270787,1,1,41561
270788,2,3,41561
270789,1,1,41562
270790,2,1,41562
270791,1,1,41563
270792,2,1,41563
270793,1,1,41564
270794,2,1,41564
270795,1,1,41565
270796,2,1,41565
270797,1,1,41566
270798,2,1,41566
270799,1,1,41567
270800,2,1,41567
270801,1,1,41568
270802,2,1,41568
270803,1,1,41569
270804,2,1,41569
270805,1,1,41570
270806,2,1,41570
270807,1,1,41571
270808,2,1,41571
270809,1,1,41572
270810,2,1,41572
270811,1,1,41573
270812,2,1,41573
270813,1,1,41574
270814,2,4,41574
270815,1,1,41575
270816,2,4,41575
270819,1,1,41577
270820,2,2,41577
270821,1,1,41578
270822,2,2,41578
270829,1,1,41582
270830,2,2,41582
270831,1,1,41583
270832,2,1,41583
270833,1,1,41584
270834,2,3,41584
270835,1,1,41585
270836,2,1,41585
270839,1,1,41587
270840,2,4,41587
270841,1,1,41588
270842,2,4,41588
270845,1,1,41590
270846,2,3,41590
270847,1,1,41591
270848,2,3,41591
270849,1,1,41592
270850,2,4,41592
270851,1,1,41593
270852,2,4,41593
270853,1,1,41594
270854,2,4,41594
270855,1,1,41595
270856,2,4,41595
270857,1,1,41596
270858,2,4,41596
270859,1,1,41597
270860,2,1,41597
270861,1,1,41598
270862,2,4,41598
270863,1,1,41599
270864,2,4,41599
270865,1,1,41600
270866,2,2,41600
270867,2,1,41601
270868,1,1,41601
270869,2,1,41602
270870,1,1,41602
270871,1,1,41604
270872,2,3,41604
270873,1,1,41605
270874,2,1,41605
271279,1,1,41808
271280,2,1,41808
271281,1,1,41809
271282,2,1,41809
271283,1,1,41810
271284,2,1,41810
271285,1,1,41811
271286,2,1,41811
271287,1,1,41812
271288,2,1,41812
271289,1,1,41813
271290,2,1,41813
271291,1,1,41814
271292,2,1,41814
271293,1,1,41815
271294,2,1,41815
271295,1,1,41816
271296,2,1,41816
271297,1,1,41817
271298,2,1,41817
271299,1,1,41818
271300,2,1,41818
271301,1,1,41819
271302,2,1,41819
271303,1,1,41820
271304,2,1,41820
271305,1,1,41821
271306,2,1,41821
271307,1,1,41822
271308,2,1,41822
271309,1,1,41823
271310,2,1,41823
271311,1,1,41824
271312,2,1,41824
271313,1,1,41825
271314,2,1,41825
271315,1,1,41826
271316,2,1,41826
271317,1,1,41827
271318,2,1,41827
271319,1,1,41828
271320,2,1,41828
271321,1,1,41829
271322,2,1,41829
271323,1,1,41830
271324,2,1,41830
271325,1,1,41831
271326,2,1,41831
271327,1,1,41832
271328,2,1,41832
271329,1,1,41833
271330,2,1,41833
271331,1,1,41834
271332,2,1,41834
271333,1,1,41835
271334,2,1,41835
271335,1,1,41836
271336,2,1,41836
271337,1,1,41837
271338,2,1,41837
271339,1,1,41838
271340,2,1,41838
271341,1,1,41839
271342,2,1,41839
271343,1,1,41840
271344,2,1,41840
271345,1,1,41841
271346,2,1,41841
271347,1,1,41842
271348,2,1,41842
271349,1,1,41843
271350,2,1,41843
271351,1,1,41844
271352,2,1,41844
271353,1,1,41845
271354,2,1,41845
271355,1,1,41846
271356,2,1,41846
271357,1,1,41847
271358,2,1,41847
271359,1,1,41848
271360,2,4,41848
271361,1,1,41849
271362,2,1,41849
271363,1,1,41850
271364,2,1,41850
271365,1,1,41851
271366,2,4,41851
271367,1,1,41852
271368,2,1,41852
271369,1,1,41853
271370,2,4,41853
271371,1,1,41854
271372,2,1,41854
271373,1,1,41855
271374,2,1,41855
271375,1,1,41856
271376,2,1,41856
271377,1,1,41857
271378,2,1,41857
271379,1,1,41858
271380,2,1,41858
271381,1,1,41859
271382,2,1,41859
271383,1,1,41860
271384,2,1,41860
271385,1,1,41861
271386,2,4,41861
271387,1,1,41862
271388,2,4,41862
271389,1,1,41863
271390,2,1,41863
271391,1,1,41864
271392,2,4,41864
271393,1,1,41865
271394,2,4,41865
271395,1,1,41866
271396,2,4,41866
271397,1,1,41867
271398,2,1,41867
271399,1,1,41868
271400,2,1,41868
271401,1,1,41869
271402,2,4,41869
271403,1,1,41870
271404,2,1,41870
271405,1,1,41871
271406,2,4,41871
271407,1,1,41872
271408,2,1,41872
271409,1,1,41873
271410,2,4,41873
271411,1,1,41874
271412,2,4,41874
271413,1,1,41875
271414,2,4,41875
271415,1,1,41876
271416,2,4,41876
271417,1,1,41877
271418,2,4,41877
271419,1,1,41878
271420,2,4,41878
271421,1,1,41879
271422,2,1,41879
271423,1,1,41880
271424,2,1,41880
271425,1,1,41881
271426,2,1,41881
271427,1,1,41882
271428,2,1,41882
271429,1,1,41883
271430,2,1,41883
271431,1,1,41884
271432,2,4,41884
271433,1,1,41885
271434,2,4,41885
271435,1,1,41886
271436,2,1,41886
271437,1,1,41887
271438,2,1,41887
271439,1,1,41888
271440,2,1,41888
271441,1,1,41889
271442,2,1,41889
271443,1,1,41890
271444,2,1,41890
271445,1,1,41891
271446,2,4,41891
271447,1,1,41892
271448,2,1,41892
271449,1,1,41893
271450,2,1,41893
271451,1,1,41894
271452,2,1,41894
271453,1,1,41895
271454,2,1,41895
271455,1,1,41896
271456,2,1,41896
271457,1,1,41897
271458,2,1,41897
271459,1,1,41898
271460,2,1,41898
271461,1,1,41899
271462,2,1,41899
271463,1,1,41900
271464,2,1,41900
271465,1,1,41901
271466,2,1,41901
271467,1,1,41902
271468,2,1,41902
271469,1,1,41903
271470,2,1,41903
271471,1,1,41904
271472,2,1,41904
271473,1,1,41905
271474,2,1,41905
271475,1,1,41906
271476,2,1,41906
271477,1,1,41907
271478,2,1,41907
271479,1,1,41908
271480,2,1,41908
271481,1,1,41909
271482,2,1,41909
271483,1,1,41910
271484,2,1,41910
271485,1,1,41911
271486,2,4,41911
271487,1,1,41912
271488,2,1,41912
271489,1,1,41913
271490,2,1,41913
271491,1,1,41914
271492,2,1,41914
271493,1,1,41915
271494,2,1,41915
271495,1,1,41916
271496,2,1,41916
271497,1,1,41917
271498,2,1,41917
271499,1,1,41918
271500,2,1,41918
271501,1,1,41919
271502,2,1,41919
271503,1,1,41920
271504,2,1,41920
271505,1,1,41921
271506,2,1,41921
271507,1,1,41922
271508,2,1,41922
271509,1,1,41923
271510,2,1,41923
271511,1,1,41924
271512,2,1,41924
271513,1,1,41925
271514,2,1,41925
271515,1,1,41926
271516,2,1,41926
271517,1,1,41927
271518,2,1,41927
271519,1,1,41928
271520,2,1,41928
271521,1,1,41929
271522,2,1,41929
271523,1,1,41930
271524,2,1,41930
271525,1,1,41931
271526,2,1,41931
271527,1,1,41932
271528,2,1,41932
271529,1,1,41933
271530,2,1,41933
271531,1,1,41934
271532,2,1,41934
271533,1,1,41935
271534,2,1,41935
271535,1,1,41936
271536,2,1,41936
271537,1,1,41937
271538,2,1,41937
271539,1,1,41938
271540,2,1,41938
271541,1,1,41939
271542,2,1,41939
271543,1,1,41940
271544,2,4,41940
271545,1,1,41941
271546,2,1,41941
271547,1,1,41942
271548,2,1,41942
271549,1,1,41943
271550,2,1,41943
271551,1,1,41944
271552,2,3,41944
271553,1,1,41945
271554,2,1,41945
271555,1,1,41946
271556,2,1,41946
271557,1,1,41947
271558,2,4,41947
271559,1,1,41948
271560,2,1,41948
271561,1,1,41949
271562,2,4,41949
271563,1,1,41950
271564,2,1,41950
271565,1,1,41951
271566,2,1,41951
271567,1,1,41952
271568,2,1,41952
271569,1,1,41953
271570,2,1,41953
271571,1,1,41954
271572,2,1,41954
271573,1,1,41955
271574,2,4,41955
271575,1,1,41956
271576,2,1,41956
271577,1,1,41957
271578,2,1,41957
271579,1,1,41958
271580,2,1,41958
271581,1,1,41959
271582,2,1,41959
271583,1,1,41960
271584,2,1,41960
271585,1,1,41961
271586,2,1,41961
271587,1,1,41962
271588,2,4,41962
271589,1,1,41963
271590,2,1,41963
271591,1,1,41964
271592,2,1,41964
271593,1,1,41965
271594,2,1,41965
271595,1,1,41966
271596,2,1,41966
271597,1,1,41967
271598,2,1,41967
271599,1,1,41968
271600,2,1,41968
271601,1,1,41969
271602,2,1,41969
271603,1,1,41970
271604,2,1,41970
271605,1,1,41971
271606,2,1,41971
271607,1,1,41972
271608,2,1,41972
271609,1,1,41973
271610,2,1,41973
271611,1,1,41974
271612,2,1,41974
271613,1,1,41975
271614,2,1,41975
271615,1,1,41976
271616,2,1,41976
271617,1,1,41977
271618,2,1,41977
271619,1,1,41978
271620,2,1,41978
271621,1,1,41979
271622,2,1,41979
271623,1,1,41980
271624,2,1,41980
271625,1,1,41981
271626,2,1,41981
271627,1,1,41982
271628,2,4,41982
271629,1,1,41983
271630,2,1,41983
271631,1,1,41984
271632,2,1,41984
271633,1,1,41985
271634,2,4,41985
271635,1,1,41986
271636,2,1,41986
271637,1,1,41987
271638,2,1,41987
271639,1,1,41988
271640,2,1,41988
271641,1,1,41989
271642,2,1,41989
271643,1,1,41990
271644,2,1,41990
271645,1,1,41991
271646,2,1,41991
271647,1,1,41992
271648,2,1,41992
271649,1,1,41993
271650,2,4,41993
271651,1,1,41994
271652,2,1,41994
271653,1,1,41995
271654,2,1,41995
271655,1,1,41996
271656,2,1,41996
271657,1,1,41997
271658,2,1,41997
271659,1,1,41998
271660,2,1,41998
271661,1,1,41999
271662,2,1,41999
271663,1,1,42000
271664,2,1,42000
271665,1,1,42001
271666,2,1,42001
271667,1,1,42002
271668,2,1,42002
271669,1,1,42003
271670,2,1,42003
271671,1,1,42004
271672,2,1,42004
271675,1,1,42006
271676,2,1,42006
271679,1,1,42008
271680,2,4,42008
271681,1,1,42009
271682,2,1,42009
271683,1,1,42010
271684,2,1,42010
271685,1,1,42012
271686,2,1,42012
271687,1,1,42013
271688,2,1,42013
271689,1,1,42014
271690,2,1,42014
271695,1,1,42017
271696,2,1,42017
271703,1,1,42021
271704,2,1,42021
271705,1,1,42023
271706,2,1,42023
271707,1,1,42025
271708,2,1,42025
271709,1,1,42026
271710,2,1,42026
271711,1,1,42027
271712,2,1,42027
271713,1,1,42028
271714,2,1,42028
271715,1,1,42029
271716,2,4,42029
271717,1,1,42030
271718,2,1,42030
271719,1,1,42031
271720,2,1,42031
271721,1,1,42032
271722,2,1,42032
271723,1,1,42033
271724,2,4,42033
271725,1,1,42034
271726,2,1,42034
271727,1,1,42035
271728,2,1,42035
271729,1,1,42036
271730,2,1,42036
271731,1,1,42037
271732,2,1,42037
271733,1,1,42038
271734,2,1,42038
271735,1,1,42039
271736,2,1,42039
271737,1,1,42040
271738,2,1,42040
271739,1,1,42041
271740,2,4,42041
271741,1,1,42042
271742,2,1,42042
271743,1,1,42043
271744,2,1,42043
271745,1,1,42044
271746,2,4,42044
271747,1,1,42045
271748,2,4,42045
271749,1,1,42046
271750,2,1,42046
271751,1,1,42047
271752,2,1,42047
271753,1,1,42048
271754,2,1,42048
271755,1,1,42049
271756,2,1,42049
271757,1,1,42050
271758,2,1,42050
271759,1,1,42051
271760,2,1,42051
271761,1,1,42052
271762,2,1,42052
271763,1,1,42053
271764,2,1,42053
271765,1,1,42054
271766,2,1,42054
271767,1,1,42055
271768,2,1,42055
271769,1,1,42056
271770,2,1,42056
271771,1,1,42057
271772,2,1,42057
271773,1,1,42058
271774,2,1,42058
271775,1,1,42059
271776,2,1,42059
271777,1,1,42060
271778,2,1,42060
271779,1,1,42061
271780,2,1,42061
271781,1,1,42062
271782,2,4,42062
271783,1,1,42063
271784,2,1,42063
271785,1,1,42064
271786,2,1,42064
271787,1,1,42065
271788,2,1,42065
271789,1,1,42066
271790,2,1,42066
271791,1,1,42067
271792,2,1,42067
271795,1,1,42069
271796,2,1,42069
271797,1,1,42070
271798,2,1,42070
271799,1,1,42071
271800,2,1,42071
271801,1,1,42072
271802,2,1,42072
271803,1,1,42073
271804,2,1,42073
271805,1,1,42074
271806,2,1,42074
271807,1,1,42075
271808,2,1,42075
271809,1,1,42076
271810,2,1,42076
271813,1,1,42078
271814,2,1,42078
271815,1,1,42079
271816,2,1,42079
271817,1,1,42080
271818,2,1,42080
271819,1,1,42081
271820,2,1,42081
271821,1,1,42082
271822,2,1,42082
271823,1,1,42083
271824,2,4,42083
271825,1,1,42084
271826,2,1,42084
271827,1,1,42086
271828,2,4,42086
271831,1,1,42088
271832,2,4,42088
271833,1,1,42089
271834,2,1,42089
271835,1,1,42090
271836,2,1,42090
271837,1,1,42091
271838,2,1,42091
271839,1,1,42092
271840,2,1,42092
271841,1,1,42093
271842,2,1,42093
271843,1,1,42094
271844,2,1,42094
271845,1,1,42095
271846,2,4,42095
271847,1,1,42096
271848,2,1,42096
271849,1,1,42097
271850,2,1,42097
271851,1,1,42098
271852,2,1,42098
271853,1,1,42099
271854,2,1,42099
271855,1,1,42100
271856,2,1,42100
271857,1,1,42101
271858,2,1,42101
271859,1,1,42102
271860,2,1,42102
271861,1,1,42103
271862,2,1,42103
271863,1,1,42104
271864,2,1,42104
271865,1,1,42105
271866,2,4,42105
271867,1,1,42106
271868,2,1,42106
271869,1,1,42107
271870,2,1,42107
271871,1,1,42108
271872,2,1,42108
271873,1,1,42109
271874,2,1,42109
271875,1,1,42111
271876,2,1,42111
271877,1,1,42112
271878,2,4,42112
271879,1,1,42113
271880,2,4,42113
271881,1,1,42114
271882,2,1,42114
271883,1,1,42116
271884,2,1,42116
271885,1,1,42117
271886,2,1,42117
271887,1,1,42118
271888,2,1,42118
271889,1,1,42119
271890,2,1,42119
271891,1,1,42120
271892,2,1,42120
271893,1,1,42121
271894,2,1,42121
271895,1,1,42122
271896,2,1,42122
271897,1,1,42123
271898,2,1,42123
271901,1,1,42125
271902,2,1,42125
271903,1,1,42126
271904,2,1,42126
271905,1,1,42127
271906,2,1,42127
271907,1,1,42128
271908,2,1,42128
271909,1,1,42129
271910,2,1,42129
271911,1,1,42130
271912,2,1,42130
271913,1,1,42131
271914,2,1,42131
271915,1,1,42132
271916,2,1,42132
271917,1,1,42133
271918,2,1,42133
271919,1,1,42134
271920,2,1,42134
271921,1,1,42135
271922,2,1,42135
271923,1,1,42136
271924,2,1,42136
271925,1,1,42137
271926,2,1,42137
271927,1,1,42138
271928,2,1,42138
271929,1,1,42139
271930,2,1,42139
271931,1,1,42140
271932,2,1,42140
271933,1,1,42141
271934,2,1,42141
271937,1,1,42143
271938,2,1,42143
271939,1,1,42144
271940,2,1,42144
271941,1,1,42145
271942,2,1,42145
271943,1,1,42146
271944,2,4,42146
271945,1,1,42147
271946,2,1,42147
271947,1,1,42148
271948,2,1,42148
271949,1,1,42149
271950,2,4,42149
271951,1,1,42150
271952,2,1,42150
271953,1,1,42151
271954,2,1,42151
271955,1,1,42152
271956,2,1,42152
271957,1,1,42153
271958,2,1,42153
271959,1,1,42154
271960,2,1,42154
271961,1,1,42155
271962,2,1,42155
271963,1,1,42156
271964,2,1,42156
271965,1,1,42157
271966,2,1,42157
271967,1,1,42158
271968,2,1,42158
271969,1,1,42159
271970,2,1,42159
271971,1,1,42160
271972,2,1,42160
271973,1,1,42161
271974,2,1,42161
271975,1,1,42162
271976,2,1,42162
271977,1,1,42163
271978,2,1,42163
271979,1,1,42164
271980,2,1,42164
271981,1,1,42165
271982,2,1,42165
271983,1,1,42166
271984,2,1,42166
271985,1,1,42167
271986,2,1,42167
271987,1,1,42168
271988,2,1,42168
271989,1,1,42169
271990,2,1,42169
271991,1,1,42170
271992,2,1,42170
271993,1,1,42171
271994,2,1,42171
271995,1,1,42172
271996,2,1,42172
271997,1,1,42173
271998,2,1,42173
271999,1,1,42174
272000,2,1,42174
272001,1,1,42175
272002,2,1,42175
272003,1,1,42176
272004,2,1,42176
272005,1,1,42177
272006,2,1,42177
272007,1,1,42178
272008,2,1,42178
272009,1,1,42179
272010,2,1,42179
272011,1,1,42180
272012,2,4,42180
272013,1,1,42181
272014,2,1,42181
272015,1,1,42182
272016,2,1,42182
272017,1,1,42183
272018,2,1,42183
272019,1,1,42184
272020,2,4,42184
272021,1,1,42185
272022,2,1,42185
272023,1,1,42186
272024,2,1,42186
272025,1,1,42187
272026,2,4,42187
272027,1,1,42188
272028,2,1,42188
272029,1,1,42189
272030,2,1,42189
272031,1,1,42190
272032,2,1,42190
272033,1,1,42191
272034,2,1,42191
272035,1,1,42192
272036,2,1,42192
272037,1,1,42193
272038,2,1,42193
272039,1,1,42194
272040,2,4,42194
272041,1,1,42195
272042,2,1,42195
272043,1,1,42196
272044,2,4,42196
272045,1,1,42197
272046,2,1,42197
272047,1,1,42198
272048,2,1,42198
272049,1,1,42199
272050,2,1,42199
272051,1,1,42200
272052,2,1,42200
272053,1,1,42201
272054,2,1,42201
272055,1,1,42202
272056,2,1,42202
272057,1,1,42203
272058,2,1,42203
272059,1,1,42204
272060,2,1,42204
272061,1,1,42205
272062,2,1,42205
272063,1,1,42206
272064,2,1,42206
272065,1,1,42207
272066,2,1,42207
272067,1,1,42208
272068,2,1,42208
272069,1,1,42209
272070,2,1,42209
272071,1,1,42210
272072,2,1,42210
272073,1,1,42211
272074,2,1,42211
272075,1,1,42212
272076,2,1,42212
272077,1,1,42213
272078,2,1,42213
272079,1,1,42214
272080,2,1,42214
272081,1,1,42215
272082,2,1,42215
272083,1,1,42216
272084,2,1,42216
272085,1,1,42217
272086,2,1,42217
272087,1,1,42218
272088,2,4,42218
272089,1,1,42219
272090,2,1,42219
272091,1,1,42220
272092,2,1,42220
272093,1,1,42221
272094,2,1,42221
272095,1,1,42222
272096,2,1,42222
272097,1,1,42223
272098,2,1,42223
272099,1,1,42224
272100,2,1,42224
272101,1,1,42225
272102,2,1,42225
272103,1,1,42226
272104,2,1,42226
272105,1,1,42227
272106,2,1,42227
272107,1,1,42228
272108,2,1,42228
272109,1,1,42229
272110,2,1,42229
272111,1,1,42230
272112,2,1,42230
272113,1,1,42231
272114,2,1,42231
272115,1,1,42232
272116,2,1,42232
272117,1,1,42233
272118,2,1,42233
272119,1,1,42234
272120,2,4,42234
272121,1,1,42235
272122,2,1,42235
272123,1,1,42236
272124,2,1,42236
272125,1,1,42237
272126,2,4,42237
272127,1,1,42238
272128,2,1,42238
272129,1,1,42239
272130,2,1,42239
272131,1,1,42240
272132,2,1,42240
272133,1,1,42241
272134,2,1,42241
272135,1,1,42242
272136,2,1,42242
272137,1,1,42243
272138,2,1,42243
272139,1,1,42244
272140,2,1,42244
272141,1,1,42245
272142,2,1,42245
272143,1,1,42246
272144,2,1,42246
272145,1,1,42247
272146,2,1,42247
272147,1,1,42248
272148,2,1,42248
272149,1,1,42249
272150,2,1,42249
272151,1,1,42250
272152,2,1,42250
272153,1,1,42251
272154,2,1,42251
272155,1,1,42252
272156,2,1,42252
272157,1,1,42253
272158,2,1,42253
272159,1,1,42254
272160,2,1,42254
272161,1,1,42255
272162,2,1,42255
272163,1,1,42256
272164,2,4,42256
272165,1,1,42257
272166,2,1,42257
272167,1,1,42258
272168,2,1,42258
272169,1,1,42259
272170,2,1,42259
272171,1,1,42260
272172,2,1,42260
272173,1,1,42261
272174,2,1,42261
272175,1,1,42262
272176,2,1,42262
272177,1,1,42263
272178,2,1,42263
272179,1,1,42264
272180,2,1,42264
272181,1,1,42265
272182,2,1,42265
272183,1,1,42266
272184,2,4,42266
272185,1,1,42267
272186,2,1,42267
272187,1,1,42268
272188,2,1,42268
272189,1,1,42269
272190,2,4,42269
272191,1,1,42270
272192,2,1,42270
272193,1,1,42271
272194,2,4,42271
272195,1,1,42272
272196,2,1,42272
272197,1,1,42273
272198,2,1,42273
272199,1,1,42274
272200,2,1,42274
272201,1,1,42275
272202,2,4,42275
272203,1,1,42276
272204,2,1,42276
272205,1,1,42277
272206,2,1,42277
272207,1,1,42278
272208,2,1,42278
272209,1,1,42279
272210,2,4,42279
272211,1,1,42280
272212,2,1,42280
272213,1,1,42281
