uid,coordinateX,coordinateY,slide,annoId,orderIdx
41877,23202,37996,7,41877,
41878,22679,40155,7,41878,
41879,22503,40661,7,41879,
41880,22587,40848,7,41880,
41881,22384,41257,7,41881,
41882,22421,41316,7,41882,
41883,22428,41370,7,41883,
41884,22789,41970,7,41884,
41885,22889,42505,7,41885,
41886,22738,42848,7,41886,
41887,22787,43002,7,41887,
41888,22826,43013,7,41888,
41889,23357,43580,7,41889,
41890,22293,43569,7,41890,
41891,22763,43450,7,41891,
41892,22987,44341,7,41892,
41893,22505,44793,7,41893,
41894,22891,45094,7,41894,
41895,23146,45885,7,41895,
41896,22352,48944,7,41896,
41897,22539,50504,7,41897,
41898,23089,50735,7,41898,
41899,22415,63077,7,41899,
41900,22742,63942,7,41900,
41901,22646,64441,7,41901,
41902,22445,72069,7,41902,
41903,22839,73269,7,41903,
41904,23145,77439,7,41904,
41905,23238,77125,7,41905,
41906,23324,77474,7,41906,
41907,22197,77605,7,41907,
41908,22035,77065,7,41908,
41909,22557,77150,7,41909,
41910,22590,77120,7,41910,
41911,22720,77347,7,41911,
41912,22751,77389,7,41912,
41913,22753,77189,7,41913,
41914,22776,77226,7,41914,
41915,22922,77133,7,41915,
41916,22370,77731,7,41916,
41917,22711,77743,7,41917,
41918,22726,77692,7,41918,
41919,22650,79211,7,41919,
41920,22674,79428,7,41920,
41921,22817,79263,7,41921,
41922,22929,79606,7,41922,
41923,23199,80289,7,41923,
41924,22265,79871,7,41924,
41925,22424,79680,7,41925,
41926,22810,80806,7,41926,
41927,22904,80858,7,41927,
41928,22388,81063,7,41928,
41929,22435,81172,7,41929,
41930,22492,81082,7,41930,
41931,22081,81137,7,41931,
41932,23222,81722,7,41932,
41933,22276,82072,7,41933,
41934,23994,12301,7,41934,
41935,24336,13587,7,41935,
41936,24730,17662,7,41936,
41937,23523,17648,7,41937,
41938,24576,18347,7,41938,
41939,24605,18304,7,41939,
41940,24625,18410,7,41940,
41941,23602,19219,7,41941,
41942,23650,20758,7,41942,
41943,23492,21467,7,41943,
41944,23611,21890,7,41944,
41945,23783,21779,7,41945,
41946,24641,35262,7,41946,
41947,24383,35996,7,41947,
41948,24746,36342,7,41948,
41949,23758,37628,7,41949,
41950,23883,37635,7,41950,
41951,23921,37721,7,41951,
41952,23773,37927,7,41952,
41953,24087,38467,7,41953,
41954,23685,41023,7,41954,
41955,23756,41070,7,41955,
41956,23628,41355,7,41956,
41957,24259,41340,7,41957,
41958,23612,42794,7,41958,
41959,23458,43724,7,41959,
41960,24623,44436,7,41960,
41961,24744,45695,7,41961,
41962,23945,55502,7,41962,
41963,23805,56461,7,41963,
41964,24408,56839,7,41964,
41965,24304,78791,7,41965,
41966,24386,79512,7,41966,
41967,24393,79133,7,41967,
41968,24347,79458,7,41968,
41969,24473,79889,7,41969,
41970,24510,80044,7,41970,
41971,24212,80119,7,41971,
41972,24378,80602,7,41972,
41973,23660,81556,7,41973,
41974,23700,81374,7,41974,
41975,23702,81511,7,41975,
41976,23713,81555,7,41976,
41977,23732,81641,7,41977,
41978,24016,81540,7,41978,
41979,24105,81644,7,41979,
41980,23454,81369,7,41980,
41981,24254,81062,7,41981,
41982,24381,82308,7,41982,
41983,24444,81851,7,41983,
41984,24728,81879,7,41984,
41985,24736,82166,7,41985,
41986,23593,81982,7,41986,
41987,23719,82124,7,41987,
41988,23820,81945,7,41988,
41989,24208,81872,7,41989,
41990,24222,81779,7,41990,
41991,24370,81887,7,41991,
41992,25901,13029,7,41992,
41993,25505,13191,7,41993,
41994,25912,16690,7,41994,
41995,25677,16336,7,41995,
41996,25214,20367,7,41996,
41997,24949,22853,7,41997,
41998,25490,22776,7,41998,
41999,25502,22816,7,41999,
42000,25349,23229,7,42000,
42001,24949,25754,7,42001,
42002,25466,27344,7,42002,
42003,25532,27516,7,42003,
42004,25545,27238,7,42004,
42006,26069,28153,7,42006,
42008,24911,29467,7,42008,
42009,25929,30456,7,42009,
42010,25544,30806,7,42010,
42012,25735,30432,7,42012,
42013,25954,31486,7,42013,
42014,25234,31389,7,42014,
42017,25246,34399,7,42017,
42021,25842,34748,7,42021,
42023,25857,34686,7,42023,
42025,25969,35047,7,42025,
42026,25999,34479,7,42026,
42027,25936,35303,7,42027,
42028,25975,35290,7,42028,
42029,26021,35260,7,42029,
42030,25248,35395,7,42030,
42031,25486,36023,7,42031,
42032,25449,36594,7,42032,
42033,24933,37354,7,42033,
42034,25145,37213,7,42034,
42035,24804,38155,7,42035,
42036,25575,40714,7,42036,
42037,25134,42159,7,42037,
42038,25409,47363,7,42038,
42039,26028,48496,7,42039,
42040,25057,49141,7,42040,
42041,24916,55675,7,42041,
42042,25217,55403,7,42042,
42043,25920,56650,7,42043,
42044,25726,56272,7,42044,
42045,25773,58110,7,42045,
42046,25648,58181,7,42046,
42047,25441,81558,7,42047,
42048,25100,81784,7,42048,
42049,25216,82333,7,42049,
42050,25545,82135,7,42050,
42051,25575,82054,7,42051,
42052,27022,10513,7,42052,
42053,27363,10892,7,42053,
42054,27297,11814,7,42054,
42055,27451,11967,7,42055,
42056,26257,11574,7,42056,
42057,26338,11705,7,42057,
42058,26474,11610,7,42058,
42059,26817,11837,7,42059,
42060,26747,12207,7,42060,
42061,27079,12603,7,42061,
42062,27226,13341,7,42062,
42063,27411,12934,7,42063,
42064,26959,13287,7,42064,
42065,27239,14133,7,42065,
42066,27458,14156,7,42066,
42067,26668,13597,7,42067,
42069,26747,14541,7,42069,
42070,26205,14203,7,42070,
42071,26580,17428,7,42071,
42072,26796,17495,7,42072,
42073,26497,18151,7,42073,
42074,26548,18006,7,42074,
42075,26780,17669,7,42075,
42076,26849,17888,7,42076,
42078,26607,18499,7,42078,
42079,26988,18308,7,42079,
42080,27044,18591,7,42080,
42081,26504,18988,7,42081,
42082,27161,20065,7,42082,
42083,27173,20892,7,42083,
42084,26847,20481,7,42084,
42086,27097,20519,7,42086,
42088,26808,21032,7,42088,
42089,27279,22187,7,42089,
42090,27302,21654,7,42090,
42091,27377,22166,7,42091,
42092,26265,21891,7,42092,
42093,26486,21962,7,42093,
42094,27384,22471,7,42094,
42095,27357,24752,7,42095,
42096,27344,25070,7,42096,
42097,26610,25644,7,42097,
42098,27094,25296,7,42098,
42099,26293,25994,7,42099,
42100,26395,25930,7,42100,
42101,27055,25881,7,42101,
42102,27436,26443,7,42102,
42103,26318,26434,7,42103,
42104,26428,26473,7,42104,
42105,26670,26837,7,42105,
42106,26894,26523,7,42106,
42107,26228,27637,7,42107,
42108,26539,27387,7,42108,
42109,27188,27895,7,42109,
42111,27372,28347,7,42111,
42112,26702,28183,7,42112,
42113,26738,28062,7,42113,
42114,26810,27956,7,42114,
42116,27287,28698,7,42116,
42117,27252,29378,7,42117,
42118,27451,29433,7,42118,
42119,26244,30840,7,42119,
42120,27449,30917,7,42120,
42121,26428,30786,7,42121,
42122,27479,32286,7,42122,
42123,26488,31890,7,42123,
42125,26166,32899,7,42125,
42126,27247,33998,7,42126,
42127,26537,34102,7,42127,
42128,26544,34422,7,42128,
42129,26428,34857,7,42129,
42130,26167,34783,7,42130,
42131,26837,34748,7,42131,
42132,26867,34644,7,42132,
42133,26879,34847,7,42133,
42134,26342,35413,7,42134,
42135,27392,38187,7,42135,
42136,26229,40788,7,42136,
42137,26824,40713,7,42137,
42138,27038,40925,7,42138,
42139,26941,41288,7,42139,
42140,26439,42335,7,42140,
42141,26568,42353,7,42141,
42143,26842,43421,7,42143,
42144,27434,44987,7,42144,
42145,26671,45281,7,42145,
42146,27446,46424,7,42146,
42147,27459,46965,7,42147,
42148,26909,46650,7,42148,
42149,27325,47446,7,42149,
42150,26487,47382,7,42150,
42151,26665,47355,7,42151,
42152,26268,48236,7,42152,
42153,26428,48193,7,42153,
42154,27289,51890,7,42154,
42155,27148,57694,7,42155,
42156,27375,80512,7,42156,
42157,26874,80757,7,42157,
42158,28674,13464,7,42158,
42159,27626,13166,7,42159,
42160,27741,13066,7,42160,
42161,27747,13251,7,42161,
42162,28317,14013,7,42162,
42163,28364,14458,7,42163,
42164,27738,15250,7,42164,
42165,27762,15168,7,42165,
42166,28178,15423,7,42166,
42167,28242,15308,7,42167,
42168,28425,15318,7,42168,
42169,28646,15625,7,42169,
42170,28766,15567,7,42170,
42171,28277,15914,7,42171,
42172,28296,16141,7,42172,
42173,28855,16570,7,42173,
42174,28073,16789,7,42174,
42175,28302,16569,7,42175,
42176,28684,17449,7,42176,
42177,28767,17054,7,42177,
42178,28103,17247,7,42178,
42179,28374,17872,7,42179,
42180,28601,18830,7,42180,
42181,28750,18315,7,42181,
42182,27773,18666,7,42182,
42183,28166,18808,7,42183,
42184,28199,18506,7,42184,
42185,28206,18821,7,42185,
42186,27851,19249,7,42186,
42187,28140,19518,7,42187,
42188,28206,19380,7,42188,
42189,27809,21405,7,42189,
42190,28546,22085,7,42190,
42191,27697,22091,7,42191,
42192,27754,22141,7,42192,
42193,27762,21704,7,42193,
42194,27961,30432,7,42194,
42195,27668,31780,7,42195,
42196,28315,31903,7,42196,
42197,28670,33715,7,42197,
42198,28702,33134,7,42198,
42199,28133,35272,7,42199,
42200,28265,37295,7,42200,
42201,28333,37943,7,42201,
42202,27950,38881,7,42202,
42203,28137,39614,7,42203,
42204,28624,40186,7,42204,
42205,28224,40158,7,42205,
42206,28512,48574,7,42206,
42207,28657,49243,7,42207,
42208,27953,49107,7,42208,
42209,28473,55115,7,42209,
42210,27736,55619,7,42210,
42211,28195,56236,7,42211,
42212,28232,60970,7,42212,
42213,28292,78596,7,42213,
42214,28367,78589,7,42214,
42215,27620,80084,7,42215,
42216,28046,82295,7,42216,
42217,28389,82286,7,42217,
42218,29520,12385,7,42218,
42219,29949,12928,7,42219,
42220,29978,13205,7,42220,
42221,29544,13230,7,42221,
42222,29663,13105,7,42222,
42223,29788,13097,7,42223,
42224,30042,13648,7,42224,
42225,29379,14499,7,42225,
42226,30129,15202,7,42226,
42227,29071,15331,7,42227,
42228,29564,15498,7,42228,
42229,29815,15210,7,42229,
42230,29840,15264,7,42230,
42231,30013,15848,7,42231,
42232,29265,16141,7,42232,
42233,29640,15620,7,42233,
42234,30121,16259,7,42234,
42235,30147,16299,7,42235,
42236,29114,16356,7,42236,
42237,29547,16296,7,42237,
42238,29847,16299,7,42238,
42239,29239,18131,7,42239,
42240,29358,18034,7,42240,
42241,29069,18458,7,42241,
42242,29150,18349,7,42242,
42243,29242,18727,7,42243,
42244,29549,19294,7,42244,
42245,29625,19902,7,42245,
42246,29970,21145,7,42246,
42247,29176,22515,7,42247,
42248,30214,24466,7,42248,
42249,29380,26141,7,42249,
42250,29820,26744,7,42250,
42251,29855,29639,7,42251,
42252,29694,37743,7,42252,
42253,29205,38304,7,42253,
42254,29922,41119,7,42254,
42255,29872,41837,7,42255,
42256,29943,43196,7,42256,
42257,30004,45938,7,42257,
42258,29514,49562,7,42258,
42259,29900,50160,7,42259,
42260,29957,55474,7,42260,
42261,29932,56449,7,42261,
42262,29807,56124,7,42262,
42263,29028,57825,7,42263,
42264,30002,58143,7,42264,
42265,30124,58551,7,42265,
42266,29519,60573,7,42266,
42267,29988,63527,7,42267,
42268,29141,64365,7,42268,
42269,29068,65561,7,42269,
42270,29762,74071,7,42270,
42271,29327,79910,7,42271,
42272,29848,81629,7,42272,
42273,30132,81810,7,42273,
42274,29167,82188,7,42274,
42275,29428,81900,7,42275,
42276,29516,81727,7,42276,
42277,29562,82175,7,42277,
42278,29711,81924,7,42278,
42279,29742,82080,7,42279,
42280,31354,10674,7,42280,
42281,30642,10215,7,42281,
42282,31159,10353,7,42282,
42283,31437,11103,7,42283,
42284,30968,11201,7,42284,
42285,31077,10968,7,42285,
42286,31125,11117,7,42286,
42287,31288,11744,7,42287,
42289,31300,11778,7,42289,
42291,31378,11949,7,42291,
42292,31544,11560,7,42292,
42293,31582,11775,7,42293,
42295,31152,11917,7,42295,
42297,31170,11762,7,42297,
42298,31265,12628,7,42298,
42299,31300,12670,7,42299,
42300,31343,12376,7,42300,
42301,31429,12562,7,42301,
42302,30281,12661,7,42302,
42303,30671,12312,7,42303,
42304,30819,12635,7,42304,
42305,30906,12310,7,42305,
42306,31509,13029,7,42306,
42307,30496,13194,7,42307,
42308,30733,13246,7,42308,
42309,30861,13096,7,42309,
42310,30326,13273,7,42310,
42311,30646,14056,7,42311,
42312,31309,14691,7,42312,
42313,31424,14784,7,42313,
42314,31023,14672,7,42314,
42315,31172,14209,7,42315,
42316,30574,14934,7,42316,
42319,30970,15034,7,42319,
42321,31385,16166,7,42321,
42322,31480,15912,7,42322,
42323,30436,15942,7,42323,
42324,30460,15877,7,42324,
42325,30678,15927,7,42325,
42326,30980,15917,7,42326,
42327,31192,15555,7,42327,
42328,31221,15820,7,42328,
42329,31411,16696,7,42329,
42330,30485,16494,7,42330,
42331,31021,16414,7,42331,
42332,31495,17301,7,42332,
42333,31506,17502,7,42333,
42334,31519,17078,7,42334,
42335,30444,16920,7,42335,
42336,30562,17085,7,42336,
42337,30603,17341,7,42337,
42338,30937,16913,7,42338,
42339,31615,17969,7,42339,
42340,30843,17718,7,42340,
42341,31206,17842,7,42341,
42342,30881,18255,7,42342,
42343,31081,18332,7,42343,
42344,31238,18594,7,42344,
42345,31304,19371,7,42345,
42346,31528,19079,7,42346,
42347,30897,19102,7,42347,
42348,30771,20005,7,42348,
42349,31357,20729,7,42349,
42350,30833,20334,7,42350,
42351,30960,20628,7,42351,
42352,31042,20377,7,42352,
42353,31265,21021,7,42353,
42354,30665,21442,7,42354,
42355,30708,21127,7,42355,
42356,30872,21083,7,42356,
42357,31084,21198,7,42357,
42358,31275,21663,7,42358,
42359,30436,21924,7,42359,
42360,30543,21946,7,42360,
42361,30770,21918,7,42361,
42362,31322,22818,7,42362,
42363,31338,22917,7,42363,
42364,30770,22737,7,42364,
42365,31289,23488,7,42365,
42366,30396,23603,7,42366,
42367,31441,23654,7,42367,
42368,31548,23651,7,42368,
42369,31527,24329,7,42369,
42370,31562,25400,7,42370,
42371,31357,26062,7,42371,
42372,30556,26014,7,42372,
42373,31618,27657,7,42373,
42374,30630,28173,7,42374,
42375,30746,27816,7,42375,
42376,30681,28768,7,42376,
42377,31310,29618,7,42377,
42378,31532,29195,7,42378,
42379,30378,29270,7,42379,
42380,30539,29051,7,42380,
42382,31579,30594,7,42382,
42383,30531,31894,7,42383,
42384,31565,33152,7,42384,
42385,31177,33212,7,42385,
42386,31130,34190,7,42386,
42387,30467,38690,7,42387,
42388,31412,42732,7,42388,
42389,30450,42885,7,42389,
42390,31492,44273,7,42390,
42391,30546,44044,7,42391,
42392,30998,44140,7,42392,
42393,31050,44104,7,42393,
42394,31081,45314,7,42394,
42395,30555,46239,7,42395,
42396,30593,46206,7,42396,
42397,30333,47225,7,42397,
42398,31098,50091,7,42398,
42399,31542,50949,7,42399,
42400,31499,51629,7,42400,
42401,31617,52377,7,42401,
42402,30474,52635,7,42402,
42403,31055,52423,7,42403,
42404,30440,53581,7,42404,
42405,30908,54033,7,42405,
42406,31344,55191,7,42406,
42407,31351,55141,7,42407,
42408,31020,56602,7,42408,
42409,31129,58567,7,42409,
42410,31592,58884,7,42410,
42411,30450,59094,7,42411,
42412,31216,60793,7,42412,
42413,31582,64987,7,42413,
42414,31105,64872,7,42414,
42415,31035,78671,7,42415,
42416,31470,82115,7,42416,
42417,30695,82150,7,42417,
42418,31103,81953,7,42418,
42419,31161,82082,7,42419,
42420,32719,10348,7,42420,
42421,32806,10610,7,42421,
42422,32983,10300,7,42422,
42423,31972,10570,7,42423,
42424,32013,10414,7,42424,
42425,32121,10492,7,42425,
42426,32147,10375,7,42426,
42427,32446,10432,7,42427,
42428,32724,11222,7,42428,
42429,32793,11181,7,42429,
42430,32827,11294,7,42430,
42431,32900,11122,7,42431,
42432,32142,11321,7,42432,
42433,32238,11050,7,42433,
42434,32262,10985,7,42434,
42435,32420,11389,7,42435,
42436,32429,11135,7,42436,
42437,32463,11242,7,42437,
42438,32535,11302,7,42438,
42439,32741,11727,7,42439,
42440,32845,12043,7,42440,
42441,32930,11824,7,42441,
42442,31778,11846,7,42442,
42443,31856,11985,7,42443,
42444,31863,12063,7,42444,
42445,31688,11795,7,42445,
42446,32353,11574,7,42446,
42447,32624,11916,7,42447,
42448,31724,11700,7,42448,
42449,32969,12286,7,42449,
42450,31763,12690,7,42450,
42451,32549,12701,7,42451,
42452,32728,14137,7,42452,
42453,32776,13821,7,42453,
42454,32899,13837,7,42454,
42455,31774,13941,7,42455,
42456,31813,13581,7,42456,
42457,31825,14042,7,42457,
42458,31900,13745,7,42458,
42459,32209,14163,7,42459,
42460,32252,14174,7,42460,
42461,32313,13676,7,42461,
42462,32368,13810,7,42462,
42463,32465,13572,7,42463,
42464,32529,13741,7,42464,
42465,32576,13718,7,42465,
42466,32583,14036,7,42466,
42467,32663,14676,7,42467,
42468,32674,14229,7,42468,
42469,32730,14413,7,42469,
42470,32800,14843,7,42470,
42471,32821,14712,7,42471,
42472,32854,14214,7,42472,
42473,32914,14836,7,42473,
42474,32923,14614,7,42474,
42475,32974,14584,7,42475,
42476,31842,14224,7,42476,
42477,31954,14504,7,42477,
42478,32243,14698,7,42478,
42479,32700,15479,7,42479,
42480,32777,15221,7,42480,
42481,32889,15118,7,42481,
42482,31754,15331,7,42482,
42483,32955,15504,7,42483,
42484,31800,15001,7,42484,
42485,31884,15056,7,42485,
42486,31987,15367,7,42486,
42487,32327,15047,7,42487,
42488,32349,14876,7,42488,
42489,32384,15260,7,42489,
42490,32411,15477,7,42490,
42491,32453,15399,7,42491,
42492,32521,15470,7,42492,
42493,32574,15095,7,42493,
42494,32710,15684,7,42494,
42495,32783,16096,7,42495,
42496,32823,16130,7,42496,
42497,32895,16116,7,42497,
42498,32948,16079,7,42498,
42499,31828,15569,7,42499,
42500,31829,15801,7,42500,
42501,32504,15666,7,42501,
42502,32687,16361,7,42502,
42503,31815,16332,7,42503,
42504,31815,16688,7,42504,
42505,32012,16371,7,42505,
42506,32094,16652,7,42506,
42507,31674,16490,7,42507,
42508,31702,16392,7,42508,
42509,32472,16241,7,42509,
42510,32514,16825,7,42510,
42511,32541,16750,7,42511,
42512,32576,16712,7,42512,
42513,31722,16508,7,42513,
42514,32695,17161,7,42514,
42515,32747,17379,7,42515,
42516,32818,17278,7,42516,
42517,31778,16966,7,42517,
42518,32242,16948,7,42518,
42519,32303,16937,7,42519,
